Query,Mode,Run #,Run Count,Time,Branch
19,SERIAL,1,5,0.327161,master
19,SERIAL,2,5,0.331366,master
19,SERIAL,3,5,0.333299,master
19,SERIAL,4,5,0.330666,master
19,SERIAL,5,5,0.334149,master
20,SERIAL,1,5,0.141477,master
20,SERIAL,2,5,0.13917,master
20,SERIAL,3,5,0.139381,master
20,SERIAL,4,5,0.138872,master
20,SERIAL,5,5,0.166873,master
21,SERIAL,1,5,0.555454,master
21,SERIAL,2,5,0.575523,master
21,SERIAL,3,5,0.582264,master
21,SERIAL,4,5,0.600456,master
21,SERIAL,5,5,0.595201,master
22,SERIAL,1,5,0.045564,master
22,SERIAL,2,5,0.044757,master
22,SERIAL,3,5,0.051682,master
22,SERIAL,4,5,0.045619,master
22,SERIAL,5,5,0.045364,master
